img_name,torso_leg_ratio,arm_symmetry_diff,leg_symmetry_diff,vis_leg_torso_ratio,sleeve_sym,hem_sym,label
data\IMG_2544.JPG,0.7225986394337061,0.006997078398180145,0.008357556990023107,1.4391134130223828,0.49536178107606677,0.14285714285714285,
data\IMG_2545.JPG,0.7373004445817954,0.09134152057623368,0.007374131194607891,1.0927047674570867,0.4695035460992908,0.05815602836879433,
data\IMG_2546.JPG,0.6320754333496488,0.0320714553458597,0.016559100037013663,1.4694356229814098,0.29692832764505117,0.09215017064846416,
data\IMG_2547.JPG,0.7099262725052992,0.062014078781706256,0.05017423639660801,1.5487083367131311,0.4220442769665568,0.09279321714554875,
data\IMG_2548 (1).JPG,0.6648278359687814,0.015614590023311892,0.014625300221527082,1.625229393979766,0.43583333333333335,0.1175,
data\IMG_2550.JPG,0.6449362305682214,0.11480105417770345,0.012116040604023937,1.882203282936294,0.4033333333333333,0.11916666666666667,
data\IMG_2551.JPG,0.6632569862968618,0.14795899140123508,0.036371175195016814,1.5101562756264626,0.24170616113744076,0.12389979688557888,
data\IMG_2552.JPG,0.6550174241614598,0.035332924581022496,0.009607825744822773,1.390154675525176,0.3370253164556962,0.09651898734177215,
data\IMG_2553 (1).JPG,0.6512090794242568,0.08791750693575662,0.017091894730747237,1.661082867690913,0.545816733067729,0.08167330677290836,
data\IMG_2553.JPG,0.6512090794242568,0.08791750693575662,0.017091894730747237,1.661082867690913,0.545816733067729,0.08167330677290836,
data\IMG_2554.JPG,0.7920860481603462,0.00284552417380185,0.019345121292035028,1.3562032843832352,0.49906191369606,0.10084427767354597,
data\IMG_2555.JPG,0.7413076572306443,0.02261200554901982,0.005226289650810068,1.5023778114110582,0.5060240963855421,0.08283132530120482,
data\IMG_2560.JPG,0.6847637851897975,0.001501327873993874,0.0005310581860230035,1.3570307496580305,0.2194513715710723,0.05236907730673317,
data\IMG_2561.JPG,0.6337336500082077,0.07688929154155869,0.014692417055288676,1.4887028521849799,0.3853211009174312,0.10601427115188583,
data\IMG_2562.JPG,0.7315444510721479,0.005788250615065715,0.02715294595991774,1.669638849834028,0.2783661119515885,0.16944024205748864,
data\IMG_2563.JPG,0.7762366442397717,0.10986164221942152,0.0037607054107199334,1.2427731693850683,0.3855050115651503,0.07632999228989977,
data\IMG_2566.JPG,0.757250018467003,0.0002042391185790582,0.0011984557870163837,1.4897444308224457,0.48,0.08722222222222223,
data\IMG_2567.JPG,0.654233147902503,0.10046490536621083,0.012175559765793875,1.617546734239063,0.3360655737704918,0.07845433255269321,
data\IMG_2568.JPG,0.8093732083249018,0.0024254480703611025,0.019771948387055316,1.3450582095124202,0.4635416666666667,0.1046875,
data\IMG_2569.JPG,0.8358828205092321,0.0038169801143790316,0.0064384583717277954,1.2513476799158283,0.43702684101858225,0.11218169304886441,
data\IMG_2570.JPG,0.7337688957323183,0.02497622995051854,0.059041269672115954,1.3785026439517087,0.31197916666666664,0.06041666666666667,
data\IMG_2571.JPG,0.7003837583078432,0.0317464678368129,0.02063719030123501,1.3901075912746734,0.45600475624256837,0.10047562425683709,
data\IMG_2573.JPG,0.7206992941954515,0.015691950667132415,0.01825351642991524,1.2269018991058829,0.3995711222301644,0.08434596140100072,
data\IMG_2574.JPG,0.748669209912996,0.010748260845778568,0.039101292268090726,1.481641161948424,0.34942528735632183,0.10862068965517241,
data\IMG_2575.JPG,0.6371818185409276,0.013799914435096233,0.05853574374926118,1.3445249299673052,0.42916666666666664,0.05555555555555555,
data\IMG_2577.JPG,0.6599016797752033,0.03377718951682468,0.007632000212050072,1.4541711849486465,0.4528301886792453,0.08050314465408805,
data\IMG_2578.JPG,0.6419039488276629,0.11219644650762572,0.014068593755065861,1.384617845551222,0.3952662721893491,0.06390532544378698,
data\IMG_2579.JPG,0.7517818864737966,0.023876868470868007,0.022218780822905626,1.472806107983404,0.4661458333333333,0.109375,
data\IMG_2580.JPG,0.6093331872843873,0.03834482527703939,0.029490445124723375,1.7953035919285063,0.4128856624319419,0.12250453720508167,
data\IMG_2581.JPG,0.7355020930801329,0.038985694352720035,0.026336719274411863,1.731860002028545,0.6167176350662589,0.09683995922528033,
data\IMG_2582.JPG,0.6620603224626905,0.024220157365075545,0.004423931836337103,1.5474573414973967,0.444,0.087,
data\IMG_2583.JPG,0.7509244171626088,0.027469896585341602,0.016665439333544474,1.2765795240225826,0.3927083333333333,0.0703125,
data\IMG_2584.JPG,0.7803245669771169,0.009602158397249705,0.03185144336817236,1.2117157606885407,0.38689809630459127,0.0755879059350504,
data\IMG_2585.JPG,0.7083320233362156,0.06657063375531122,0.018712504882782477,1.4313369641885003,0.505,0.08583333333333333,
data\IMG_2586.JPG,0.7380350659557179,0.004627534861538107,0.019045711309412572,1.6208718584562147,0.3782435129740519,0.11177644710578842,
data\IMG_2587.JPG,0.7048767209274831,0.04331237216978562,0.039853763930915775,1.4420268839881272,0.3203125,0.11354166666666667,
data\IMG_2588.JPG,0.714514042376875,0.08789410805084047,0.026315531780707557,1.730467776751116,0.41125541125541126,0.1038961038961039,
data\IMG_2589.JPG,0.7397364396265491,0.04942960561699475,0.013136389174167012,1.4412722885151406,0.645625,0.0725,
data\IMG_2590.JPG,0.7844179487964065,0.018328593570350382,0.03406358860105846,1.417256994974508,0.32313965341488277,0.10601427115188583,
data\IMG_2591.JPG,0.8674272670497813,0.024234666543182293,0.012078365275826508,1.3267687265202448,0.5695020746887967,0.07987551867219916,
data\IMG_2592.JPG,0.6467400661026318,0.012163368598987034,0.01583221184661593,1.7507921796783663,0.46125,0.1075,
data\IMG_2593.JPG,0.7209966252983788,0.060696512816000914,0.01583967918608442,1.4959450561917065,0.353125,0.12,
data\IMG_2594.JPG,0.6327385897922713,0.0009193374520880537,0.010631090766360596,1.982349140877147,0.45611702127659576,0.1675531914893617,
data\IMG_2595.JPG,0.6815134671447748,0.008127389885635883,0.014060196384648005,1.4302241433447085,0.42055555555555557,0.09555555555555556,
data\IMG_2596.JPG,0.6507177096091115,0.04932845914195921,0.00939038045258389,1.7077429271839308,0.4666666666666667,0.12777777777777777,
data\IMG_2597.JPG,0.6488449467143903,0.018821505967609953,0.028049072531622532,1.6915621506683374,0.45055555555555554,0.1338888888888889,
data\IMG_2598.JPG,0.6481652741281582,0.09436400016885668,0.015343631922513312,1.6909813262169482,0.362565445026178,0.12303664921465969,
data\IMG_2599.JPG,0.6574276067308794,0.03382351203094902,0.008859403953725198,1.7075032185598615,0.41796875,0.11953125,
data\IMG_2600.JPG,0.6210606171355942,0.041961893644895276,0.008187424993525039,1.6771408126520944,0.4891891891891892,0.10990990990990991,
data\IMG_2601.JPG,0.751540578167709,0.030655073448903447,0.05498363104477466,1.156516500383468,0.4633333333333333,0.0475,
data\IMG_2602.JPG,0.7597082353871355,0.24307053754192465,0.04616922396454981,1.488378788541609,0.46390458254865036,0.10922787193973635,
data\IMG_2603.JPG,0.6676765002043249,0.012311783944583932,0.010911996387602874,1.5446504280542457,0.35392320534223703,0.09682804674457429,
data\IMG_2604.JPG,0.6390601644095951,0.015354716301669513,0.025471432834492935,1.6436143251377793,0.44878706199460916,0.09029649595687332,
